Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Analytics - Dashboard,101,0,49,53.849585148296086,40.576700004749,166.12969999550842,42146.0,1.7005902076814199,0.0,49,52,54,56,63,70,150,150,170,170,170
GET,Analytics - Home,13,0,61,65.00071538343596,53.91509999753907,84.01009999215603,42146.0,0.21888784851345008,0.0,61,64,64,76,83,84,84,84,84,84,84
GET,Analytics Page,54,0,13,15.94201296231606,9.855099997366779,57.69420000433456,72641.0,0.9092264476712542,0.0,13,14,16,19,22,32,53,58,58,58,58
GET,Candidate Detail,82,0,45,53.93688170726996,38.291999997454695,172.02589999942575,2930.329268292683,1.3806771983156083,0.0,45,47,49,52,57,150,160,170,170,170,170
GET,Compare Candidates,16,0,5,7.126506250642706,4.465799996978603,27.05190000415314,4199.0,0.2694004289396309,0.0,5,6,7,7,10,27,27,27,27,27,27
GET,Dashboard,146,0,49,55.75775410926164,40.77629999665078,169.40719999547582,42146.0,2.458278914074132,0.0,49,51,53,54,62,140,160,170,170,170,170
GET,Fairness Report,15,0,61,74.7700266695271,54.23750000772998,166.3299000065308,138229.0,0.25256290213090393,0.0,61,64,69,77,160,170,170,170,170,170,170
GET,Home/Dashboard,12,0,64,67.18523333256599,57.425699997111224,82.82450000115205,42146.0,0.20205032170472315,0.0,65,66,75,75,79,83,83,83,83,83,83
GET,Job List,57,0,61,70.1936333327403,47.92890000680927,173.13670000294223,10297.0,0.9597390280974349,0.0,61,63,67,71,90,170,170,170,170,170,170
GET,System Health,46,0,13,15.934867391479202,10.019900000770576,50.10210000909865,72539.0,0.7745262332014388,0.0,13,15,15,17,27,37,50,50,50,50,50
GET,Upload Page,34,0,43,44.20840882085031,37.420000007841736,87.2421999956714,13113.0,0.5724759114967156,0.0,43,44,46,47,49,52,87,87,87,87,87
,Aggregated,576,0,47,48.58865746493595,4.465799996978603,173.13670000294223,38431.93923611111,9.698415441826711,0.0,47,52,55,57,65,84,160,170,170,170,170
